bus0,bus1,v_nom,num_parallel,length,carrier,dc,type,s_max_pu,s_nom,build_year,i_nom,capital_cost,s_nom_extendable,s_nom_min,s_nom_max,x,r,b,x_pu_eff,r_pu_eff,s_nom_opt,g,s_nom_mod,lifetime,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,country,country_bus1
AT0 13,DE0 8,380.0,2.0000000000000004,157.45053093038698,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,3396.205223481055,0,2.58,6629.372251791948,True,3396.2052234810553,23396.205223481054,19.366415304437595,2.361757963955804,0.001365221390318217,0.00013411644947671465,1.6355664570331053e-05,3396.2068736722254,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,DE
AT0 14,HU0 0,380.0,2.578947368421053,229.55791108249312,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,4379.31726185715,0,2.58,9666.642911668028,True,4379.31726185715,24379.317261857148,21.897013804072913,2.6703675370820625,0.0025666325772726703,0.00015164136983429995,1.8492849979792677e-05,4855.154737749343,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,HU
AT0 18,CH0 0,380.0,1.0000000000000002,217.39731766342632,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,1698.1026117405274,0,2.58,9152.631462812305,True,1698.1026117405277,21698.102611740527,53.47974014520286,6.521919529902788,0.0009425038661925347,0.00037035831125486747,4.516564771400823e-05,1698.1027403269095,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,CH
AT0 18,IT0 4,380.0,0.2894736842105263,185.60625574710303,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,491.5560191880474,0,2.58,7815.0467793553935,True,491.5560191880474,20491.556019188047,157.73157079308356,19.235557413790676,0.0002329328054643127,0.0010923238974590275,0.00013321023139744237,972.4465120779723,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,IT
AT0 24,CZ0 0,380.0,0.5789473684210527,215.13763514712224,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,983.1120383760948,0,2.58,9060.587699031481,True,983.1120383760948,20983.112038376094,91.41393697069539,11.148041093987244,0.0005399884040983793,0.0006330605053372257,7.72025006508812e-05,983.1125186560405,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,CZ
AT0 25,CZ0 0,380.0,2.000002812856486,221.3505944508742,AC,,Al/St 240/40 4-bundle 380.0,0.7,3396.21,2022,2.58,9320.625479458482,True,3396.21,23396.21,27.226084825922886,3.320254247063766,0.0019192884871868346,0.00018854629380833022,2.2993450464430512e-05,3396.2111621523927,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,CZ
AT0 28,DE0 8,380.0,0.5789473684210527,134.57561899534758,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,983.1120383760948,0,2.58,5667.366123891289,True,983.1120383760948,20983.112038376094,57.18240392584133,6.973463893395284,0.00033778038734205793,0.0003960000271872668,4.829268624234961e-05,983.112324762667,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,DE
AT0 33,DE0 9,380.0,0.5789473684210527,122.53162139094685,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,983.1120383760948,0,2.58,5159.234849165555,True,983.1120383760948,20983.112038376094,52.06479985284414,6.3493658357127005,0.0003075503486000333,0.0003605595557676187,4.397067753263643e-05,983.1123296807943,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,DE
AT0 36,DE0 9,380.0,1.2894736842105265,129.15908308628096,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,2189.658630928575,0,2.58,5439.018571044101,True,2189.658630928575,22189.658630928574,24.640389973276616,3.004925606497148,0.0007220485426459299,0.00017063981975953336,2.080973411701626e-05,2189.658993113282,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,DE
AT0 37,IT0 4,380.0,0.2894736842105263,133.90111171954197,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,491.5560191880474,0,2.58,5638.982716292362,True,491.5560191880474,20491.556019188047,113.7915993049344,13.877024305479804,0.0001680436981074658,0.0007880304661006537,9.610127635373825e-05,1329.134094253159,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,IT
AT0 38,CZ0 0,380.0,2.0000000000000004,205.43760778665506,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,3396.205223481055,0,2.58,8651.139568100318,True,3396.2052234810553,23396.205223481054,25.268825757758567,3.081564116799825,0.0017813075311263829,0.00017499186812852194,2.134047172299048e-05,3396.206034552547,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,CZ
AT0 4,DE0 8,380.0,2.000002812856486,223.77544261761489,AC,,Al/St 240/40 4-bundle 380.0,0.7,3396.21,2025,2.58,9422.64896504408,True,3396.21,23396.21,27.524340730956457,3.356626918409324,0.0019403138798727998,0.0001906117779152109,2.3245338770147675e-05,3396.210834256575,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,DE
AT0 41,DE0 9,380.0,2.0000000000000004,151.48256413977808,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,3396.205223481055,0,2.58,6378.983396465203,True,3396.2052234810553,23396.205223481054,18.6323553891927,2.2722384620966705,0.0013134743693897814,0.0001290329320581212,1.5735723421722094e-05,3396.2061848641297,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,DE
AT0 46,SI0 0,380.0,0.2894736842105263,73.91544738821291,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,491.5560191880474,0,2.58,3112.6524509275405,True,491.5560191880474,20491.556019188047,62.814691107728564,7.660328183869337,9.276267363932839e-05,0.00043500478606460226,5.3049364154219786e-05,908.305722572386,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,SI
AT0 5,CH0 0,380.0,1.4473684210526316,145.78573755765348,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,2457.780095940237,0,2.58,6137.339201523278,True,2457.780095940237,22457.780095940238,24.778274085253535,3.02174074210409,0.0009147935426340895,0.00017159469588125717,2.092618242454356e-05,2457.7802543569946,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,CH
AT0 6,DE0 8,380.0,2.0000000000000004,239.2590482188765,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,3396.205223481055,0,2.58,10076.667483111905,True,3396.2052234810553,23396.205223481054,29.428862930921802,3.5888857232831466,0.002074566332202492,0.00020380098982632826,2.4853779247113204e-05,3396.2053892687763,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,DE
AT0 7,SI0 0,380.0,2.0000000000000004,112.34640831718293,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,3396.205223481055,0,2.58,4731.401288072908,True,3396.2052234810553,23396.205223481054,13.818608223013497,1.6851961247577436,0.000974132756833033,9.569673284635386e-05,1.1670333273945593e-05,3396.205513856847,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,SI
AT0 8,DE0 8,380.0,0.5789473684210527,172.75509021901973,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,983.1120383760948,0,2.58,7275.788961565553,True,983.1120383760948,20983.112038376094,73.40520833488165,8.951854674985569,0.00043360960718679645,0.0005083463181085987,6.19934534278779e-05,983.1123919519246,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,DE
AT0 1,DE0 9,380.0,0.5789473684210527,128.18450451317892,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,983.1120383760948,0,2.58,5398.39401856757,True,983.1120383760948,20983.112038376094,54.466761281327116,6.642287961137453,0.0003217388997275072,0.00037719363768232074,4.599922410760009e-05,983.112198118079,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,AT,DE
